"Story","Title","Result","Date","Stability","Duration (s)"
"Prueba tecnica","Agregar 2 productos al carro de compras","PENDING","2023-11-27T15:22:22.2339785-05:00[America/Bogota]","0.0","0.16"
"Prueba tecnica","Agregar 2 productos al carro de compras","SUCCESS","2023-11-27T16:00:47.4205803-05:00[America/Bogota]","0.0","29.5"
